Game Name,Platform,Region,Game,Manual/Inserts,Artwork/Box,Extras,Notes
Batman The Telltale Series,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Bayonetta 2,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Blade Strangers,Switch,NTSC-UC,A+,A+,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Candle,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Captain Toad Treasure Tracker,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Collection of Mana,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Crash Bandicoot N-Sane Trilogy,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Crash Team Racing Nitro-Fueled,Switch,PAL-EU,A+,N/A,A+,Includes DLC Download code (unchecked),"Cartridge is PAL-EU, Box is PAL-AU"
Dark Souls Remastered,Switch,PAL-AU,A+,N/A,A+,,
de Blob 2,Switch,PAL-EU,A+,N/A,A+,,
DOOM,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Donkey Kong Country Tropical Freeze,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
The Elder Scrolls V: Skyrim,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Final Fantasy XII The Zodiac Age,Switch,NTSC-UC,A+,N/A,A+,,
Fire Emblem Three Houses,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Fire Emblem Warriors,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Gal*Gun 2,Switch,PAL-EU,A+,N/A,A+,,
Has Been Heroes,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Hollow Knight,Switch,NTSC-UC,A+,A+,A+,Includes fangamer art cards and more,
Hyrule Warriors Definitive Edition,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Katamari Damacy Rerolled,Switch,NTSC-J,A+,N/A,A+,,
Kirby Star Allies,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
L.A. Noire,Switch,NTSC-UC,A+,N/A,A+,,Case has OLFC Stickers
Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy Deluxe Edition,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
The Legend of Zelda Breath of the Wild,Switch,PAL-AU,A+,A+,A+,,
The Legend of Zelda Link's Awakening,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
A Good Librarian Like a Good Shepard - Library Party,Switch,NTSC-J,A+,N/A,A+,,
Little Dragons Cafe,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Luigi's Mansion 3,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Mario + Rabbids Kingdom Battle,Switch,PAL-EU,A+,A+,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Mario Kart 8 Deluxe,Switch,NTSC-J,A+,N/A,A+,,
Mario Tennis Aces,Switch,PAL-EU,A+,N/A,A+,,
Minecraft,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Monopoly for Nintendo Switch,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Monster Hunter Generations Ultimate,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Ni no Kuni: Wrath of the White Witch,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Octopath Traveler,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Okami HD,Switch,NTSC-J,A+,A+,A+,,
Oninaki,Switch,PAL-EU,A+,N/A,A+,,
Owlboy,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Pokemon Let's Go Pikachu,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Pokemon Let's Go Eevee,Switch,PAL-EU,A+,N/A,A+,Includes Pokeball Plus,"Cartridge is PAL-EU, Box is PAL-AU"
Pokemon Mystery Dungeon Rescue Team DX,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Pokken Tournament DX,Switch,PAL-AU,A+,N/A,A+,,
Raspberry Cube,Switch,NTSC-J,A+,N/A,A+,,
Risk of Rain 1+2,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Pokemon Sword Version,Switch,PAL-EU,A+,N/A,A+,Pokemon Sword/Shield Dual Pack and Steelcase,"Cartridge is PAL-EU, Box is PAL-AU"
Pokemon Shield Version,Switch,PAL-EU,A+,N/A,A+,Pokemon Sword/Shield Dual Pack and Steelcase,"Cartridge is PAL-EU, Box is PAL-AU"
Riot: Civil Unrest,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
RollerCoast Tycoon Adventures,Switch,PAL-EU,A+,N/A,A+,,
Poi Explorer,Switch,PAL-EU,A+,N/A,A-,,"Cartridge is PAL-EU, Box is PAL-AU. Case has cracked"
Senran Kagura Peach Ball,Switch,NTSC-UC,A+,A+,A+,Includes art card,
Shovel Knight Treasure Trove,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Sonic Forces,Switch,PAL-EU,A+,N/A,A+,Includes DLC Download code (used),"Cartridge is PAL-EU, Box is PAL-AU"
Sonic Mania Plus,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
SNK 40th Anniversary Collection,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
SNK Heroines Tag Team Frenzy,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Splatoon 2,Switch,PAL-AU,A+,N/A,A+,,
Spyro Reignited Trilogy,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Starlink Battle for Atlas,Switch,PAL-EU,A+,A+,A+,"Includes Joycon/Starship Grip, I have a few different weapons and characters","Cartridge is PAL-EU, Box is PAL-AU"
New Super Mario Bros. U Deluxe,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Super Mario Maker 2,Switch,PAL-EU,A+,N/A,A+,,
Super Mario Odyssey,Switch,NTSC-UC,A+,N/A,A+,,
Super Mario Party,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Super Neptunia RPG,Switch,PAL-EU,A+,N/A,A+,,
Super Smash Bros. Ultimate,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Sushi Striker The Way of the Sushido,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Syberia Trilogy,Switch,PAL-EU,A+,N/A,B+,,Artwork has an OLFC Sticker on it
Taiko no Tatsujin Drum 'n' Fun!,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Travis Strikes Again No More Heroes,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Urban Trial Playground,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
VA-11 Hall-A,Switch,NTSC-J,M,N/A,A+,,
Ghostbusters,Switch,NTSC-UC,A+,N/A,M,,
The Witcher 3: Wild Hunt Complete Edition,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Wolfenstein II,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Xenoblade Chronicles: Definitive Edition,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Xenoblade Chronicles 2,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Yoku's Island Express,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Yoshi's Crafted World,Switch,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Stardew Valley,Switch,NTSC-J,A+,A+,A+,Includes Soundtrack and Artbook,"Cartridge is PAL-EU, Box is PAL-AU"
Gurumin,PC,NTSC-J,A+,A+,A+,Soundtrack and books,Too much to detail
Gurumin,PC,NTSC-J,A+,A+,A+,"Soundtrack and books, vista version",Too much to detail
Undertale,Vita,NTSC-UC,A+,A+,A+,Includes golden locket,
Tachyon Project,Vita,NTSC-A,A+,A+,A+,eastasiasoft Release,
Sky Force Anniversary,Vita,NTSC-UC,S,S,S,LRG Release,
Cursed Castilla,Vita,NTSC-A,S,S,S,eastasiasoft Release,
Yomawari Midnight Shadows,Vita,NTSC-UC,A+,N/A,A+,,
One More Dungeon,Vita,NTSC-A,S,S,S,eastasiasoft Release,
Persona 4 Dancing All Night,Vita,NTSC-UC,S,S,S,,
Ragnarok Odyssey Ace,Vita,NTSC-UC,S,S,S,,
Sir Eats Alot,Vita,NTSC-A,S,S,S,eastasiasoft Release,
SteamWorld Heist,Vita,NTSC-UC,S,S,S,LRG Release,
SteamWorld Dig,Vita,NTSC-UC,S,S,S,LRG Release,
Oceanhorn Monster of Uncharted Seas,Vita,N/A,S,S,S,LRG Release,
Mutant Mudds Super Challenge,Vita,N/A,S,S,S,LRG Release,
Dragon Fantasy The Black Tome of Ice Special Edition,Vita,N/A,S,S,S,LRG Release,
Croixleur Omega,Vita,NTSC-UC,S,S,S,LRG Release,
Siralim,Vita,NTSC-UC,S,S,S,LRG Release,
Asdivine Hearts,Vita,N/A,S,S,S,LRG Release,
Factorium 90,Vita,NTSC-UC,S,S,S,LRG Release,
Musynx,Vita,NTSC-UC,S,S,S,LRG Release,Chibi Neko Maid Version
Stealth Inc. A Clone in the Dark Ultimate Edition,Vita,N/A,S,S,S,LRG Release,
thomas was alone,Vita,N/A,S,S,S,LRG Release,
Mystery Chronicle One Way heroics,Vita,N/A,S,S,S,LRG Release,
Race the Sun,Vita,NTSC-UC,S,S,S,LRG Release,
Volume,Vita,N/A,S,S,S,LRG Release,
Octodad Dadliest Catch,Vita,N/A,S,S,S,LRG Release,
Broken Age,Vita,N/A,S,S,S,LRG Release,
VA-11 Hall-A,Vita,NTSC-UC,S,S,S,LRG Release,Chibi Art Version
Deemo The Last Recital,Vita,NTSC-UC,S,S,S,LRG Release,
Bard's Gold,Vita,N/A,S,S,S,LRG Release,
Oddworlds Stranger's Wrath HD,Vita,N/A,S,S,S,LRG Release,Goat Art Version
Retro City Rampage DX,Vita,N/A,S,S,S,VBLANK Entertainment Release,Initial release
Home,Vita,NTSC-UC,S,S,S,LRG Release,
Rainbow Moon,Vita,N/A,S,S,S,LRG Release,
Claire Extended Cut,Vita,NTSC-UC,S,S,S,LRG Release,
Oddworld Munch's Oddysee HD,Vita,NTSC-UC,S,S,S,LRG Release,Underwater Art Version
Xeodrifter,Vita,N/A,S,S,S,LRG Release,Seal is slightly damaged on bottom of case
Shovel Knight,Vita,NTSC-UC,S,S,S,Yacht Club Games Release,
Saturday Morning RPG,Vita,N/A,S,S,S,LRG Release,
Skull Girls 2nd Encore,Vita,N/A,S,S,S,"LRG Release, with Music CD and Artbook",
Senran Kagura Bon Appetit! Full Course,Vita,NTSC-UC,S,S,S,LRG Release,
Dariusburst CS Chronical Saviours,Vita,N/A,S,S,S,LRG Release,
Super Hydorah,Vita,NTSC-UC,S,S,S,LRG Release,
Soldner X2 Final Prototype,Vita,NTSC-A,S,S,S,eastasiasoft Release,
Risk of Rain,Vita,N/A,S,S,S,LRG Release,
Reality Fighters,Vita,PAL-EU,A+,N/A,M,,
Borderlands 2,Vita,PAL-EU,A+,N/A,M,,
FIFA 13,Vita,PAL-EU,A+,N/A,M,,
Spy Hunter,Vita,PAL-EU,A+,N/A,M,,
LEGO Star Wars The Force Awakens,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
One Piece Burning Blood,Vita,PAL-EU,A+,N/A,A+,,Case has OLFC Stickers
Ridge Racer,Vita,PAL-EU,A+,N/A,A+,,Case has OLFC Stickers
Call of Duty Black Ops Declassified,Vita,PAL-EU,A+,N/A,A+,,
Persona 4 Dancing All Night,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Dungeon Hunter: Alliance,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Assassin's Creed Chronicles,Vita,PAL-EU,A+,A+,A+,,Case has OLFC Stickers
Child of Light,Vita,PAL-EU,A+,A+,A+,"Complete Edition, includes DLC Code (unused)","Cartridge is PAL-EU, Box is PAL-AU"
LEGO The Lord of the Rings,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Hatsune Miku Project Diva F2nd,Vita,NTSC-UC,A+,A+,A+,,
Shantae 1/2 Genie Hero,Vita,NTSC-UC,A+,N/A,A+,OST Soundtrack,
Odin Sphere Leifthrasir,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Virtua Tennis 4 World Tour Edition,Vita,PAL-EU,A+,A+,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Reality Fighters,Vita,PAL-EU,A+,N/A,A+,,
FIFA 13,Vita,PAL-EU,A+,N/A,A+,,
Little Deviants,Vita,PAL-EU,A+,N/A,A+,,
Hyperdimension Neptunia Re;Birth3: V Generation,Vita,PAL-EU,A+,N/A,A+,,
Touch My Katamari,Vita,NTSC-UC,A+,N/A,A+,,
Hyperdimension Neptunia Re;Birth2: Sisters Generation,Vita,PAL-EU,A+,N/A,A+,,
Dynasty Warriors Next,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Superdimension Neptuna vs SEGA Hard Girls,Vita,PAL-EU,A+,N/A,A+,,
Virtue's Last Reward,Vita,NTSC-UC,A+,N/A,A+,,
Modnation Racers Road Trip,Vita,NTSC-UC,A+,N/A,A+,,Case has OLFC Stickers
Hot Shots Golf World Invitational,Vita,NTSC-UC,A+,N/A,A+,Includes Season Pass,
Batman Arkham Origins Blackgate,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Tales of Hearts R,Vita,PAL-EU,A+,N/A,A+,Includes DLC Download code (unchecked),"Cartridge is PAL-EU, Box is PAL-AU"
Sorcery Saga Curse of the Great Curry God,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
LittleBigPlanet PS VITA,Vita,PAL-EU,A+,N/A,A+,,Case has OLFC Stickers
Invizimals The Alliance,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
√Letter,Vita,PAL-EU,A+,N/A,A+,,
Occultic;Nine,Vita,NTSC-J,A+,A+,A+,Includes Box and Art Book,
Spelunky,Vita,N/A,S,S,S,Collector's Edition LRG Release,
Hyperdimension Neptunia Producing Perfection,Vita,NTSC-J,A+,A+,A+,,
Sly Cooper Thieves in Time,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Sword Art Online Hollow Realization,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Tokyo Twilight Ghosthunters,Vita,NTSC-J,A+,N/A,A+,,
Himouto Umaru Chan,Vita,NTSC-J,A+,A+,A+,,
Genkai Tokki: Seven Pirates,Vita,NTSC-J,A+,N/A,A+,Includes OST,
Project 575,Vita,NTSC-J,A+,A+,A+,,
Bullet Girls,Vita,NTSC-J,A+,A+,A+,,
Clannad,Vita,NTSC-J,A+,A+,A+,,
Final Fantasy X-2 HD Remaster,Vita,NTSC-A,A+,N/A,A+,,
LEGO The Hobbit,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Aegis of Earth Protonovus Assault,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Mortal Kombat,Vita,PAL-EU,A+,N/A,A+,,
Final Fantasy X/X-2 HD Remaster,Vita,PAL-EU,A+,A+,A+,Includes X-2 Download Code (Unused),"Cartridge is PAL-EU, Box is PAL-AU"
The Sly Trilogy,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Ciel Nosurge,Vita,NTSC-J,S,S,S,,
Samurai & Dragons,Vita,NTSC-J,A+,N/A,A+,,
Tearaway,Vita,PAL-EU,A+,A+,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Playstation All-Stars Battle Royale,Vita,PAL-EU,A+,N/A,A+,Includes Season Pass,"Cartridge is PAL-EU, Box is PAL-AU"
Valkyrie Drive -BHIKKHUNI-,Vita,NTSC-UC,A+,N/A,A+,,
Metal Gear Solid HD Collection,Vita,NTSC-UC,A+,N/A,A+,,Case has OLFC Stickers
Stranger of Sword City,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Gravity Rush,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Persona 4 Golden,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
MegaTagmension Neptune + Blanc VS Zombies,Vita,NTSC-J,S,S,S,,
Hyperdimension Neptunia U: Action Unleased,Vita,PAL-EU,A+,N/A,A+,,
Assassin's Creed III Liberation,Vita,PAL-EU,A+,A+,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Dynasty Warriors 8: Xtreme Legends Complete Edition,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Operation Babel New Tokyo Legacy,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Sonic All Stars Racing Transformer,Vita,PAL-EU,A+,A+,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Danganronpa v3 Killing Harmony,Vita,NTSC-UC,A+,N/A,A+,,
Hyperdimension Neptunia Re;Birth2: Sisters Generation,Vita,NTSC-J,A+,A+,A+,,
Supremacy MMA Unrestricted,Vita,NTSC-UC,A+,N/A,A+,,
Ratchet & Clank Trilogy,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Wipeout 2048,Vita,PAL-EU,A+,N/A,A+,Includes Season Pass,"Cartridge is PAL-EU, Box is PAL-AU"
World of Final Fantasy,Vita,NTSC-UC,A+,N/A,A+,Includes Day One Edition DLC,
Operation Abyss New Tokyo Legacy,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Hyperdimension Neptunia Re;Birth1,Vita,NTSC-J,A+,N/A,A+,,
Windjammers,Vita,NTSC-UC,S,S,S,LRG Release,
Earth Defense Force 2 Invaders from Planet Space,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
LEGO Jurassic World,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
AKIBA'S TRIP: Undead & Undressed,Vita,NTSC-UC,A+,N/A,A+,,
Croixleur Omega,Vita,NTSC-UC,A+,N/A,A+,LRG Release,
Siralim,Vita,NTSC-UC,A+,N/A,A+,LRG Release,
MLB 12 The Show,Vita,NTSC-UC,A+,N/A,A+,Includes Season Pass,
The Muppets Movie Adventures,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
FIFA Football,Vita,PAL-EU,A+,A+,A+,,
God Eater 2,Vita,NTSC-J,A+,A+,A+,,
Killzone Mercenary,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Dengeki Bunko Fighting ClimaX,Vita,NTSC-UC,A+,A+,A+,,
Hatsune Miku Project Diva X,Vita,NTSC-UC,A+,N/A,A+,Includes Vita Console Sock Pouch (sealed),Case has OLFC Stickers
Terraria,Vita,NTSC-UC,A+,N/A,A+,,
LEGO The LEGO Movie Video Game,Vita,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Tadeo Jones,Vita,PAL-EU,A+,N/A,B+,,
semispheres,Vita,NTSC-A,S,S,S,eastasiasoft Release,
Borderlands 2,Vita,PAL-EU,A+,N/A,A+,Includes DLC Download code (unchecked),"Cartridge is PAL-EU, Box is PAL-AU"
Secret of Mana 2,Vita,NTSC-J,A+,A+,A+,,
